Rank,Name,Team,Pos.,Rushes,TDs,
1,Ezekiel Elliott,DAL,RB,59,12,
2,Christian McCaffrey,CAR,RB,54,10,
3,Nick Chubb,CLE,RB,50,6,
4,Leonard Fournette,JAX,RB,46,3,
5,Dalvin Cook,MIN,RB,46,12,
6,Todd Gurley,LA,RB,46,10,
7,Josh Jacobs,OAK,RB,42,7,
8,Chris Carson,SEA,RB,41,7,
9,Sony Michel,NE,RB,36,6,
10,Derrick Henry,TEN,RB,35,11,
11,Joe Mixon,CIN,RB,35,3,
12,Aaron Jones,GB,RB,32,14,
13,Marlon Mack,IND,RB,31,5,
14,Carlos Hyde,HOU,RB,30,4,
15,Phillip Lindsay,DEN,RB,30,5,
16,Melvin Gordon,LAC,RB,29,8,
17,Saquon Barkley,NYG,RB,29,3,
18,Alexander Mattison,MIN,RB,27,2,
19,Mark Ingram,BAL,RB,27,8,
20,Tevin Coleman,SF,RB,26,5,
21,David Montgomery,CHI,RB,26,5,
22,Miles Sanders,PHI,RB,26,2,
23,Frank Gore,BUF,RB,25,3,
24,Alvin Kamara,NO,RB,24,3,
25,Royce Freeman,DEN,RB,24,3,
26,Adrian Peterson,WAS,RB,23,5,
27,Gus Edwards,BAL,RB,23,1,
28,Jordan Howard,PHI,RB,22,6,
29,Latavius Murray,NO,RB,21,3,
30,Lamar Jackson,BAL,QB,20,4,
31,Devonta Freeman,ATL,RB,20,2,
32,Peyton Barber,TB,RB,20,6,
33,LeVeon Bell,NYJ,RB,19,3,
34,Ronald Jones,TB,RB,19,5,
35,LeSean McCoy,KC,RB,18,4,
36,Kerryon Johnson,DET,RB,18,3,
37,David Johnson,ARI,RB,17,2,
38,Devin Singletary,BUF,RB,17,2,
39,Austin Ekeler,LAC,RB,16,3,
40,Jeff Wilson,SF,RB,16,4,
41,Malcolm Brown,LA,RB,15,4,
42,Kyler Murray,ARI,QB,15,3,
43,Kenyan Drake,ARI,RB,14,6,
44,Jamaal Williams,GB,RB,13,1,
45,James Conner,PIT,RB,13,4,
46,Kalen Ballage,MIA,RB,13,3,
47,Damien Williams,KC,RB,13,2,
48,James White,NE,RB,11,1,
49,Darrel Williams,KC,RB,11,3,
50,Jordan Wilkins,IND,RB,10,2,
51,Brian Hill,ATL,RB,10,1,
52,Darwin Thompson,KC,RB,10,1,
53,DeAndre Washington,OAK,RB,10,3,
54,Jaylen Samuels,PIT,RB,9,0,
55,Raheem Mostert,SF,RB,9,3,
56,Ito Smith,ATL,RB,9,1,
57,Josh Allen,BUF,QB,9,3,
58,Justice Hill,BAL,RB,9,1,
59,Duke Johnson,HOU,RB,9,1,
60,Patrick Laird,MIA,RB,9,1,
61,Giovani Bernard,CIN,RB,9,0,
62,Qadree Ollison,ATL,RB,8,4,
63,Mike Boone,MIN,RB,8,2,
64,Jonathan Williams,IND,RB,8,1,
65,Boston Scott,PHI,RB,8,2,
66,Rashaad Penny,SEA,RB,8,1,
67,Ty Johnson,DET,RB,7,0,
68,Derrius Guice,WAS,RB,7,2,
69,Dak Prescott,DAL,QB,7,1,
70,Nyheim Hines,IND,RB,7,2,
71,Dare Ogunbowale,TB,RB,7,2,
72,Chase Edmonds,ARI,RB,7,2,
73,Ryquell Armstead,JAX,RB,6,0,
74,Deshaun Watson,HOU,QB,6,2,
75,Chris Thompson,WAS,RB,6,0,
76,Jameis Winston,TB,QB,6,1,
77,Carson Wentz,PHI,QB,6,1,
78,Tarik Cohen,CHI,RB,6,1,
79,Jared Goff,LA,QB,6,2,
80,Rex Burkhead,NE,RB,6,1,
81,Bo Scarbrough,DET,RB,6,1,
82,Dontrell Hilliard,CLE,RB,5,2,
83,Matt Breida,SF,RB,5,0,
84,Myles Gaskin,MIA,RB,5,1,
85,Brandon Bolden,NE,RB,5,3,
86,Justin Jackson,LAC,RB,5,0,
87,Bilal Powell,NYJ,RB,5,0,
88,J.D. McKissic,DET,RB,5,0,
89,Taysom Hill,NO,QB,5,0,
90,Tom Brady,NE,QB,5,3,
91,C.J. Prosise,SEA,RB,4,1,
92,Robert Woods,LA,WR,4,1,
93,Travis Homer,SEA,RB,4,0,
94,Benny Snell,PIT,RB,4,0,
95,Jacoby Brissett,IND,QB,4,2,
96,Derek Watt,LAC,FB,4,1,
97,Kareem Hunt,CLE,RB,4,2,
98,Wayne Gallman,NYG,RB,3,1,
99,Sam Darnold,NYJ,QB,3,2,
100,Jon Hilliman,NYG,RB,3,0,
101,Russell Wilson,SEA,QB,3,1,
102,Jeff Driskel,DET,QB,3,1,
103,Teddy Bridgewater,NO,QB,3,0,
104,Baker Mayfield,CLE,QB,3,1,
105,Jimmy Garoppolo,SF,QB,3,1,
106,Mark Walton,MIA,RB,3,0,
107,Trey Edmunds,PIT,RB,3,0,
108,Andy Dalton,CIN,QB,3,2,
109,Mitchell Trubisky,CHI,QB,3,1,
110,Curtis Samuel,CAR,WR,3,1,
111,Tavon Austin,DAL,WR,2,1,
112,Wendell Smallwood,WAS,RB,2,0,
113,Deebo Samuel,SF,WR,2,1,
114,Taylor Gabriel,CHI,WR,2,0,
115,Dion Lewis,TEN,RB,2,0,
116,Keith Smith,ATL,FB,2,0,
117,Tyreek Hill,KC,WR,2,0,
118,Spencer Ware,KC,RB,2,0,
119,Albert Wilson,MIA,WR,2,0,
120,Javorius Allen,NYG,RB,2,1,
121,DeAndre Hopkins,HOU,WR,2,0,
122,Marcus Mariota,TEN,QB,2,1,
123,Ryan Tannehill,TEN,QB,2,2,
124,Alex Armah,CAR,FB,2,1,
125,Patrick Mahomes,KC,QB,2,0,
126,Tony Pollard,DAL,RB,2,1,
127,Ryan Fitzpatrick,MIA,QB,2,0,
128,Alec Ingold,OAK,FB,2,0,
129,C.J. Anderson,DET,RB,2,0,
130,Kirk Cousins,MIN,QB,2,1,
131,Robert Griffin III,BAL,QB,2,0,
132,D.J. Moore,CAR,WR,2,0,
133,Elijhaa Penny,NYG,RB,2,0,
134,Devlin Hodges,PIT,QB,2,0,
135,Darren Sproles,PHI,RB,2,0,
136,Jalen Richard,OAK,RB,2,0,
137,Kyle Allen,CAR,QB,2,1,
138,Dalyn Dawkins,TEN,RB,2,0,
139,T.J. Yeldon,BUF,RB,2,0,
140,George Kittle,SF,TE,2,0,
141,Joe Flacco,DEN,QB,2,0,
142,Darrell Henderson,LA,RB,2,0,
143,Troymaine Pope,LAC,RB,2,0,
144,Jay Ajayi,PHI,RB,2,0,
145,C.J. Ham,MIN,FB,2,0,
146,Danny Vitale,GB,RB,1,0,
147,Cordarrelle Patterson,CHI,WR,1,0,
148,Ty Montgomery,NYJ,RB,1,0,
149,Courtland Sutton,DEN,WR,1,0,
150,Sterling Shepard,NYG,WR,1,0,
151,Alshon Jeffery,PHI,WR,1,1,
152,T.J. Logan,TB,RB,1,0,
153,Dwayne Washington,NO,RB,1,0,
154,Case Keenum,WAS,QB,1,0,
155,Gerald Everett,LA,TE,1,0,
156,Kyle Juszczyk,SF,FB,1,0,
157,Tra Carson,DET,RB,1,0,
158,Brandon Allen,DEN,QB,1,0,
159,Drew Brees,NO,QB,1,1,
160,Anthony Sherman,KC,RB,1,0,
161,Jonnu Smith,TEN,TE,1,0,
162,Matt Ryan,ATL,QB,1,1,
163,Adam Thielen,MIN,WR,1,1,
164,Willie Snead,BAL,WR,1,0,
165,Vyncint Smith,NYJ,WR,1,1,
166,Ameer Abdullah,MIN,RB,1,0,
167,Christian Kirk,ARI,WR,1,0,
168,Daniel Jones,NYG,QB,1,1,
169,Quenton Nelson,IND,OG,1,1,
170,Will Grier,CAR,QB,1,0,
171,Ted Ginn,NO,WR,1,0,
172,Diontae Spencer,DEN,WR,1,0,
173,Keke Coutee,HOU,WR,1,1,
174,Andre Roberts,BUF,WR,1,0,
175,Steven Sims,WAS,WR,1,0,
176,James Develin,NE,FB,1,0,
177,Jakeem Grant,MIA,WR,1,0,
178,Andy Janovich,DEN,FB,1,1,
179,Zach Line,NO,FB,1,0,
180,Chase Daniel,CHI,QB,1,0,
181,Andy Isabella,ARI,WR,1,0,
182,Odell Beckham Jr.,CLE,WR,1,0,